NAME,AGE,MORNING,DAY,EVENING,NIGHT,FIRST TWEET,SECOND TWEET,THIRD TWEET,FOURTH TWEET,PURCHASE AMOUNT
Петров Максим Ильич,38,1,0,0,1,@Rouslan5 Я сразу подметилчто скот ломающий памятникиничем не лучше техкому эти памятники поставлены! :-)  :-)  :-),@MariaMasalceva я могу попробовать но только в личном общении),Я наконец-то посмотрела финал КВН. Ваню жалко. :(,"Все же так приятно получать каждый день от него это банальное "" доброе утро :*"" и "" спокойной ночи :*""",128543
Крылова Фатима Никитична,20,1,1,1,0,Теперь я буду Настя Reebok. Алёша Lacoste есть Коля Nike тоже. А мне что нельзя что ли? :D ,Про футбол) На матче «Аустрия» — «Зенит» ожидается 37 тыс зрителей  #спорт #футбол,Немного о футболе) На матче «Аустрия» — «Зенит» ожидается 37 тыс зрителей  #спорт #футбол,@jester_zaffiro Ва~ай!! *повис на шее* Как я рад))),115808
Елисеева Александра Глебовна,43,1,1,1,1,RT @PsykerO1477: Спасибо брат Иосиф!)))) http://t.co/V4L6VwJUOT,RT @sanya_201: @alexis_boeuf люблю когда пишешь ты у меня времени нету:(,@Cassie_Nykline Эм ну как сказать. У меня КМС и я ходил в сборную),RT @azo_ivan: Завтра очень рано вставать а я не могу уснуть ;(,27409
Козлова Арина Егоровна,27,1,1,1,1,жуик копец копец все тут так рассказывают о вейве что дико самому хочется попробовать :),@pridurkovataya зекзуально же почти как костюм змеи ),http://t.co/rwIYkw5f45  #RESPECT Слава спасибо))) http://t.co/tXJsdO5Em0,@forest__bird у меня крайне редко но сейчас капец на работе а работа это такая большая часть жизни(,21985
Антонова Полина Ивановна,20,1,1,1,0,RT @nkaliningrad: Половина россиян встретила Новый год без особого эмоционального подъёма. Всем грусть :( http://t.co/LMBMeVSERb,чё такая дерзкая? ЖРААТЬ ХОЧУ!!! наш гимн с лучшей подругой :DD,@ilinaa101 @VladkaHarlamka А я проебал физику и она разрешила мне не писать контрольную)) Вот я себя чувствовал Иисусом,@yana_marchelina в том то и делочто ничегосказали что бы больше времени учёбе уделялаувереначто наказание продлится не больше трёх дней),105930
Герасимова Марина Сергеевна,30,1,1,1,0,@Sun_Dies_Here Ага) Что бы кому-то мозги по-ебать.. что бы кто то мне по-ебал мозги... Ну кроме родителей конечно...),ахпхзахпзх т9 палит меня по полной х) я чуть не написал то что он предложил мне :о спалился бы сразу,RT @boqesyvazan: конца света не будет я отменяю :D,@Tsogt0505 Тэгэж тэнэгтэж анзаартал их хvн алахгvйшд сардаа ганц нэгийг бичээд л байна :)),129638
Федоров Савелий Ильич,30,1,1,1,1,Вообщем кароч только зарегальсябыл сегодня на трене ПИЗДЕЕЦЦ как устала еще в 7 утра вставать(( ЖИЗНЬ-НОРМ,RT @Rodyaaaa: Уже утро!? Я не успела выспаться :(,А чё так программок мало? Мы тоже тут все тусуемся по ходу только в нем :) ;),Вобщем сдавили со всех сторон да еще как! Один незнакомый пацан так прижал меня сзади ВЫ ДАЖЕ НЕ ПРЕДСТАВЛЯЕТЕ О ЧЕМ Я ПОДУМАЛА :D,22914
Шестакова Кира Евгеньевна,29,1,1,1,1,@snydogg1 посмотри фильм  мальчик в девочке  посмеешься от души ),@ave_noctua да ну!Ты и так уже долго болеешь(,сегодня английский был шикарный пол пары проржали истерическим смехом пол пары песни пели),@MarinaShalamay да особенно если вспомнить сколько тебе шили то летнее платье с оборками),21461
Родин Максим Михайлович,33,0,1,0,0,@A_Jurievich @thanks_heaven пиздец мальчик ты бы хоть свое что-нибудь придумал) давай три минуты тебе на смешную шутку. Аудитория ждет...,RT @NikitaDenisov49: хочу в чкаловец что то! когда тепло мне сразу хочеться туда(((,Я купила сумку но теперь она мне не нравится! ААААААААААА :_(,@DjavaOfficial это получается я у каждой елки внутри?:D,88484
Котов Анатолий Даниилович,30,1,1,0,0,@VeronikaTitko агазвезду на макушке делаю и в зеленый крашу)))),На анг.яз просто жепаааа......я не понимаю что она от меня хочет :-(,sm&amp;gt; напомни как называется: фотка вокруг черная рамка а внизу - надпись? au&amp;gt; некролог? sm&amp;gt; не.. ( au&amp;gt; демотиватор? sm&amp;gt; ДА!,до нового года я была такой худой оказывается :( пересматриваю фотки прошлогодние хах,57254
Евсеев Кирилл Александрович,47,1,0,0,1,Держись родная!* всему нас будет хорошо!!!*(,В Defense Devil столько отсылок к Десноту на самом деле %),Заняла 1 место!!!Очень рада))))Теперь нужно усерднее готовиться на область))),@justsilavoli как и я Весы- мы хуевы зануды(((,115650
Харитонова Елена Артёмовна,29,1,1,1,0,RT @romanskij4: Чем украсить ёлку? — игрушками бля)) http://t.co/6VoFm7OuSc,RT @OlesyaVeremiova: Вы подарили мне этот день я люблю вас! :*,"Пью за техкто написал ""За тех кто в море"" )) Смотрю на Макаревича и не понимаю шестьдесят комувсей Машине времени суммарно?",RT @Podslyshano: люблю зиму за то что люди носом разблокируют телефоны и такие оглядываются типа без палева)) а я то все вижу. да да.,114230
Андреев Адриан Алексеевич,42,0,1,0,0,@Skorozavtra бедняги-студенты :D Не бывать мне студентомахахах с:,Мои в больницу поехалисестру за ногу собака цепанула сильно(,"@LPARAMONOVAL ОО брат. Нам пиздос. Участвуем на звание ""лучший класс года"" Щас по всем мероприятиям таскаться будем(",Я придумала офигенную шутку и через пять минут ее забыла (((,76965
Корнилова Екатерина Данииловна,57,0,0,1,0,RT @Elli253: Вот освободились Запарились) Будем надеятсячто всё сделали хорошо) Хотя я в себе и не уверенада и тема для сочинения была оч…,RT @mofoxutuqud: Tari Tari — 01: А поют они песню из True Tears :),Писала конспект по истории в пятницу На 8 страниц написала И ЧТО Завтра на историю не приду(,Таки ОБЪЯВЛЯЮ :) спонтанную поездку за город сегодня в 19:00 на Финбане.,49074
Чеботарев Владислав Романович,25,1,0,0,1,RT @GANBATU: Манай гэр Тэнгисийн тэнд ш дээ :-(,Летоо°° Я скучаю..:( http://t.co/SplUdTM3JA,@2241107 у меня в старости тоже будет подстилка)))),RT @shohireva: Должна отметить что новый клип майли сайрус - полная хуйня. Я разочарована((((,95413
Семенов Павел Дмитриевич,23,1,1,1,1,Мне даже в гости не к кому пойти :(( Жизнь - тлен(((((,@katrin_hi почему я так не могу??( заставь меняа? А то мне лишь бы пельмешек со сметанклй покушать,спасибо людям которые пускают фейерверки под моим окном сразу такая крутотень на улке :),что такого хорошего случилось у тебя ?) @karisha2209 не знаю не хорошоне плохо.никак),23114
Плотникова София Мироновна,20,1,0,0,1,нужно постирать вещипогладитьубраться) и на всё это есть настроениечто самое главное!,@championat_asia А.Толибжонов яна италия испания ва бразилияларни хам кушворвурса буларди. Ха нима барибир рад жавобини берганку! ),RT @Pavsekakii: @Liona_Line Это правда. и совсем не розыгрыш. Так и живем... :))),RT @Pavsekakii: @Liona_Line Это правда. и совсем не розыгрыш. Так и живем... :))),126184
Рябов Александр Александрович,27,1,1,1,0,@HafizovaRu добрый вечер)как дела?) взаимный фоллов)),Coldplay – Christmas Lights - волшебство а не песня),представляетея во время первого сексапёрнула прямо в лицо своему парню:((((и он меня бросил!:((ищу парня,@Daria_Korhilova а кто-то завтра домой :(,23695
Матвеева Дарья Марсельевна,30,1,1,1,1,RT @LibbyAckles: Я тот еблан который не заметил Кровушку :-),моего котенка усыпили.боже какой ужася люблю тебя:((,Сегодня очень странный день  я нихочу ничего незнаю что со мной случилось :( http://t.co/24OAS0mPiU,18:45 все едут домой а я на литературу...думаете это все? Ошибаетесь. Когда все будут готовится ко сну я поеду на танцы :D,19059
Спиридонов Кирилл Антонович,20,1,0,0,1,Пофигу что говорят о человеке! я сам убедился что это полная лож или же я просто плохо знаю этого человека! Надеюсь все просто ошибаюстся=),RT @fevabadeqiv: Тащусь от Куроко как удав по стекловате. %),Все собралась:* Удачного нам вечера:) http://t.co/QwKBCdwQBw,@kokoss_kokoss скорее всего ты на меня орешь а не я на тебя!:),133459
Попова Валерия Степановна,20,1,1,0,0,RT @Nanananabooms: @stringushi Угу) Мы уже всё решили: баушка у телика Мать с подругой у машинки Брат в ноуте Я в компе.,@DiDinzi люби их на матбугат ру но там совсем уж помойка)),RT @karinaz2013: Случай включила песню Demi Lovato и вспомнила лето как я рисовала у Алины плокат на День Рождения Данилу или как там его:D,@hernja пошли в зал) за тебя заплачу что как чё расскажу накачаем тебе банки будешь итальяшку мизинцем в угол ставить),53636
Фокин Артём Романович,52,0,1,0,0,Ну вот они гавнюши только в 1.05 будет серия вот гаденыши :( http://t.co/cgFZLIdl0e,RT @olgan78: @rubin_paceka здравствуймой хороший!;),Чего ты к Ксюхе прицепиласьотстань от неё и живи своей жизнью — Да ладнопусть пишетмне очень интересно)) http://t.co/skFxNnrz2Q,Бог создал мужчину раньше женщины для того чтобы женщина не советовала ему как создавать мужчину =) ,106240
Тимофеев Михаил Георгиевич,29,0,0,1,0,никак не могу найти в себе силы чтобы сесть учить( прочитала 3 вопроса больше не могу(,Фича из   мне не нужна по крайней пока все как всегда очень просто :),@DestroyKun  Ахахаха ты такой модный и классный) Хотя не тут я слишком преувеличила эти факты :)),@EVernigora Ну)))Вообщекак так можнабез дела сидеть)Хахахха)))Люблю нашу власть),44945
Емельянова Кира Руслановна,20,1,1,1,0,@_Gonechka_ https://t.co/woP8XzNKuM эм ну вот чтоб не искала :D,А у нас немножко ход страдает на первых двух этапах ( #парни #эстафета #биатлон,Мне будет не хватать именно этих выходных давайте с 29.12 на повтоооор ((((,@sadrievrr @Di_irina @murzakhanova_a болтушка ты Рас ) как девочка ,93896
Киселев Иван Тимофеевич,49,0,0,1,0,Нарисовал портрет. Физика скучная( http://t.co/00nGi3VMPs,@SalovDmitriy @gudkovd @ageev_a  Ну  в общем не дурно))),@Lesha_stapdjs ну последний сезон.я не помню уже какой.вроде 8 он),Щас скажу очень приятную новость. А как при этом жестикулировал),53750
Иванов Владислав Тимурович,48,0,0,1,0,@bka16846109 да про жизньпро учебупро зарубежные страны про экзамены и тому подобное ),Я поняла что я победитель по жизникогда меня выгнали из вымешленного клана:(,как же хуево болеть особенно когда ветрянка в 20 :(,@NataIlarova: Хочу чтобы мы все общались и дружили как раньшеи я хочу (,40779
Иванов Руслан Степанович,59,0,0,1,0,@smyachenkova а нет. Да все правильно. Там тире стоит. )),RT @serge_sszark: Приключения @mielenyvin в Индии уже начались:) http://t.co/jZEk7BnhL1,Обнаружила только что у себя на руке огроооомный синяк :(  Как всегда не помню от чего(,@ya_lzgnk видимо не прочитал описание) он просто руками машет никакой это не язык жестов ни разу)),58194
Булгаков Андрей Дмитриевич,24,0,0,1,0,"@_luxemburger_ ""почта россии"" - вместо тысячи слов &gt;:D",напиши 7 симпотичных девочек из класса — У нас в классе нету столько симпатичных девчонок( http://t.co/LXWkt4MKZm,ВОЕНКОМАТ (((((((((((((((((((9999999999999999999,@Sledyashii плеер или беруши взял? :) Ну и ещё сегодня был вполне ожидаемый пипец т.к очень. многие пересели на элки.,38839
Киселев Даниил Александрович,39,0,1,0,0,@unicorn_1D_ @iamAlejandroJB  аганадеюсь ты хорошо знаешь английский ибо рус суб титров там нет=),Сегодня были в театре им.Вахтангова спектакль Обычное делоиграли Аронова и Гуськов ост.не знаю. 2-й акт ржали до истерикив лёжку))),RT @nlotvua: Доброе утро) до нового 2014 года осталось 20 дней - кто как празднует определились?;)#нлоtv http://t.co/h41I9dJmNw,@dianagaika недолго мы продержались тогда) Ахаха) но все равно скучаю по тому времени),113597
Агапов Егор Ильич,52,0,0,1,0,@vz10 можно пожалуйста узнать Вы информатику преподаете?),Люблб рано возвращаться с учебы. Больше времени для ничегонеделанья)))),Вот такое чудо теперь весит у меня)) http://t.co/n6gbRfkVqe,Офигенный день! день позитива) бегал как идиот целый день! танцы офигенны хоть я и ракал но мне очень понравилось!,62671
Фролов Тимофей Даниилович,56,0,1,0,0,Доброе утро))) у нас снееег))) урааа) счастью нет предела,Следующий урок-физика :( за что мне все эти мучения?,У меня сломался айфон сеть не работает. Перезагружал ничего не помогает(((,Матан вселяет раздор в наши ряды. Все нервные((9,80637
Зайцева Елизавета Глебовна,24,1,1,1,0,загадала желание 11.12.13 14:15:D http://t.co/kdkgyu511H,@karytwix @tvoanavsegda а я знаю что вы ОБЕ делали этим летом)) хдд,Белобрысая спокойной ночи:* http://t.co/ADqH96wgWf,@lesyaa_mint я тебя люблю:* А ее нет Пусть горит в аду сучка:D,117057
Фролов Матвей Вячеславович,27,0,1,0,0,RT @Just_love_Louis: @Masha69696969 я дибил потому что я Луи :D,Сколько раз говорила себе не загадывать на перед? И что ? Прождала битый час трамвая:(,@_kvaleriya Вроде каждый год в феврале морозы....  Думаю минус 20 будут(((,Второй день идут дожди которые смыли последние остатки снега... Пипец а не зима!(,66469
Платонова Алёна Ивановна,52,1,1,0,0,Милости-приятности :з #мама удачи пожелала:* http://t.co/Waz7Z2LDgx,RT @NnovXZ: Провокатор из Москвы Виталий Шишкин был приятно удивлен гостеприимством земли Нижегородской ))) #nnov #Арзамас http://t.co/Ct5n…,@D_Komarovskiy ты на море? :) снился мне сегодня был у нас в городе шумел много ;),@BogdanTwittman @brenqonboyqurie вы все так говорите х),66895
Новиков Артём Андреевич,53,0,0,1,0,RT @Angelina_komar: 2 часа физ-ры а у нас освобождение великолепно :),@SZimniy Сашая могу не переписываться с человекомно мыслями и жизнью интересуюсь) Ежели интересныйживойэмоциональныйсо св.точкой зрения,@cherpahina Катя тебе ответила и я наивная думала что она мне ответит тоже :(,@lear_4 я про это сказала да) Но в то что ты добрый не верю!),55691
Семенова Ева Ильинична,29,1,1,0,0,Ламонова моя любимая:*соскучилась по твоим психам:*,@loaYemanja блин! И это тоже было???? ))))) @denisplotnikov @AnnaKislenko @BGZnamenskiy,@Fedotov_Viktop всё равно в гараж я без пива не пойду))) азазаза:),спасибо за вопросы =) Задай мне вопрос http://t.co/5DBUOKilon,53598
Артамонов Павел Михайлович,38,0,1,0,0,@hugochavezz1 Дзагоеву небось каждый из команды по бутылке поставил)И Мусе по стакану налили) Привет),Нет времени объяснять детская литература подождет :),@harakiri_killss @Shaman_Eugene четырехзонный климатконтроль нормалек =),Не вам судить какой я стала / какой была и какой буду..) http://t.co/Av9kXULyKe,114247
Беляков Михаил Елисеевич,23,0,0,1,0,RT @MrAmirovoy: Представляете умудрился уже посмотреть Хоббит: пустошь смауга и уже в HD - ребята быстрые :) http://t.co/FXvjVacfE5,@gumichka пока как то так отдыхаем  ))) http://t.co/unKUWXrZdg,@_setevaYa_ @ialiev914 просто в его твите первым идет мое имявот я и удивился:),В купэ маслает как в русской баньке...как бы не свариться к утру =),47771
Галкина Алиса Матвеевна,28,1,1,1,0,RT @soqupigufiwy: Ну и конечно красные флаги с серпом и молотом повсюду. :),"твоя улыбка для меня является единственным эфективным средством от скуки..""негрустин"" в пролете) ",RT @TimZhur: над МанСити ржет вся Англия. они не знали что 4:2 выводят их на первое место. и потому Пелегрини не выпускал Агуэро.))),Новые краски) #chelny #челны #russia #россия #татарстан #tatarstan #cute #мило #girl #girls #девушка… http://t.co/PCInlIxSPt,118614
Дорофеева Мадина Фёдоровна,26,1,1,1,0,@valyagorushkina и командует))) взял маню задвинул^^ люблю заю.. фак),Была у меня подруга ( да умерла..  / Точнее человек- то остался а вот сама подруга умерла ((,@music_roman ага особенно письмо Татьяны к Онегену который надо учить пзд весело))))),@VictoriaWinche3 почему вы все смотрите на вещи а я смотрю на стояк? :DDDDD хотя да ремень офигенен,107514
Козлова Алиса Максимовна,23,0,0,1,0,Нам надо расстаться — Джи прости если что-то сделала не так:( http://t.co/ET1nFeK5nD,Высовываешься на улицу и мгновенно замерзаешь...холодрыыыггга))),Сижучитаюем конфету. Ведь жизнь моя ни как канфедка. А у других совсем лафа(((ведь не везёт мнетакая фигня.♣♣♣,Люблю свою академию!!! ВАГС-сикты такой заботливый))),31330
Карасева Мария Леонидовна,29,1,1,1,0,Смотр новости там такие активные переводчики у Путина и бывшего немецкого канцлера :D,Бесят те люди которые кидают слова и обещания на ветер в надежде того что к обещанному времени все забудется!((((,RT @Demira_sahara: Что ж меня все время тут взламывают-то(,Однако эта книга нудновата но может потом будет интереснее а пока нет :(,82926
Михайлова Валерия Михайловна,27,1,1,1,0,хотела поставить лайка потом подумала нетвсе-таки не правда это:D и зачем я пишу этот бред,3 овашка Rurouni Kenshin внезапно по графону лучше предыдущих двух раз в 5 %),RT @Podslyshano: люблю зиму за то что люди носом разблокируют телефоны и такие оглядываются типа без палева)) а я то все вижу. да да.,@DelaiPrised :D смесь Whatsapp VK FB :D новый вгляд на твиттер от Vladimir Sh :DD,117110
Балашов Денис Маркович,44,0,0,1,0,Этот неловкий момент когда в твиттере пишут что у ёлки упал один шарик - смотришь а он и правда упал ) Грань реал/виртуал всё незаметней,Ты не ругаешься матом? Я позвоню к тебе в 4 утра поговорим об этом :D,@Atom_notes @tonn_pavloff я не юлю я проявил русскую смекалку) Россия играет по своим правилам!,Кто со мной на Спасти Санту пойдет сегодня?) Онни ты свободна??,58590
Кузнецова Екатерина Руслановна,24,1,1,0,0,@IKornej человек - инопланетное существо. А про женщин-это ж провакациячто вы так:-) Мы их оч любим и готовы уступать места как инвалидам,я просто плачу от смеха:D с глаз долой из сердца вон:D ладно ладно может так проще,Завтра с утра за ноутом и очками. Блин завтра ж еще и замена у меня. Ну да ладно покажу детям картинки или фильмец.),@Bluee_fox хорошо дааа задоют много не поспорю(,47979
Сухов Марк Дмитриевич,22,1,0,0,1,@wiizardsel Я с тобой тоожже:33 И с @onedirection:)))),Я так жду вечер пятницы!!!мы с девочками будем смотреть фильм который я уже хочу посмотреть больше недели))),"сериал ""Друзья"" навека просто) сижу рисую смотрю и так уютно))",@lualebedin @RuFoteev немного ломаета тем пониженная-355! Я никогда не симулирую!((,124077
Захарова Анна Арсентьевна,20,1,1,0,0,RT @Heart_Tardis: Когда понимаешьчто шерлокоманы - сила о_О http://t.co/Yos9LhSA8K,RT @Nanananabooms: @dead_music666 Ну она и тупая пизда. Приезжай ко мне у меня хорошие учителя^^ Будешь спать у меня) С РОДИТЕЛЯМИ ДОГОВОР…,@skazka689 пиво! мы напивались чем-то посерьезнее) помню как я пыталась дойти до туалета не держась за стены ггг,Чтобы спокойно пить кофе по утрам мне к сожалению нужно не только время (((,42013
Смирнов Алексей Михайлович,27,1,1,0,0,@Driblet_rain  главное чтобы он зачеты в полнолуние устраивал :D а то говорит в  в это время женщины тупят,@pomidorri @IgorNemkovich а я думал ты оттуда раз тебя Немкович цитирует особенно про погоду. Тады ок),С Днем Рождения Кристофер лавки скамейки все дела :*,Ем гранат :* Божественный вкус) http://t.co/GYoGxXF2eQ,71341
Лебедева София Ярославовна,29,1,0,0,1,Был в военкомате отвечал на типовые вопросы:D но всё равно я не годен для армии,Милости. Приходишь в любимый @saltpub у тебя уже есть столик радуешься уже друзьям кальянщикам и официантам :),Бір адам мен сияқты күліп жатқан сияқты батыс жақта:),Как же ты мне нравишьсяяя((надеюсьэто скоро пройдетпросто я большеине могу так,114635
Николаева Ева Арсентьевна,26,1,0,0,1,Кошмар я умираю. Выпила 3 бутылки ханкуля и съела упаковку угля.(((,блин очень сильно хочу снег а за место снега на улице дождь :(,как мило немецкая овчарка подружилась с лисой) http://t.co/DPQTb38IO5,"сууууука ""РЕДАКТИРОВАТЬ ТВИТ"" ПОЧЕМУ НЕТ ТАКОЙ ФУНКЦИИ?  А УДАЛЯТЬ И ЗАНОВО ПИСАТЬ ТВИТ НЕ АХУИНО(((9(",89809
Калинин Алексей Дмитриевич,43,0,1,0,0,@mashylya_bmw18 Доброе утро тви! Хорошего всем дня :),@KaluginaKate да :( Ничегосейчас из вуза домой приду и спать лягу,@DMaijac @Nevskiy_A @a_beli4 @s_sirena не думай))) люди собирают деньгинесут теплые вещиедукафешки-чай и еду.парикмахерская-беспл стрижки,@van_der_bone @medium_boss так что я лучше еще кого-нибудь попрошу :),99848
Вишневская Вероника Никитична,31,1,0,0,1,@North_gray я тебя жалел и буду жалеть. Так что не сцы),проснулся я подумал — а зачем мне 18 тысяч анимешных обой? ну и освободил 4 гига на винте :),★★★ Мандах Эрдэнэ Акул-н 11-20 анги хэзээ тавих ? :( ★★★,Иногда бывает настолько тяжело что единственный выход - это отпустить:( http://t.co/GJzcNXKPvQ,109080
Севастьянова Елизавета Александровна,26,1,1,0,0,О Боже как это приятно когда препод забывает про контрольную) Похоже амнистия сегодня не только у зэков но и у студентов)))),С Катей уже недели не гуляла( Катя странная -не звонит не пишет. Гуляет там наверное с Вовой своим(,хочу спать но не могу поскольку страаашноо блин(,@82Chusmarina Это про меня.Часами у плиты стоюа как за стол:) http://t.co/0BWnV57Ryh,42752
Басов Роберт Тихонович,59,0,0,1,0,@_black_phantom_ ахахахха:D пожалуй ты прав) она и так слишком большая хд,@FTYSp то естьздравый смысл и умеренность во всём и не вестись на псевдолиберальные провокации(,после бессонной ночи опять буду спать днёма потом утром не встану!(,RT @AVodkin: @Lenyavochka Привет! Давно тебя не слышал)),51635
Крылов Лев Даниилович,21,1,1,0,0,-Ты знаешь меня? -Нетдама вы кто? -Я.банан -ахх..приянооо) -ты киви..я в курсе!,Зная торговлю ценными бумагами сдал на тройку. Я в своем репертуаре.),час назад очухаласьчто на завтра нужно стих учить по литературеи все равно не сажусь его учить...полный пздц(,@anyaerastova @daryamuuua ну и чо вы тут устроиди?),66469
Селезнев Даниил Макарович,53,0,0,1,0,Так хорошо на математике Сидим все разговариваем с училкой точнее слушаем) Интересные у нее истории),Wtf??? День так хорошо начинался( природа ведет себя как беременная баба http://t.co/h27uTmJvc7,завтра на две пары!!а потомлюбимую встречать!завтрая буду самым счастливым человеком!ураааа.эмоциине передать словами :),@_vlasovatanya от бизнес школ меня освободили а смылся на 1 пару ехать?),56228
Литвинов Александр Михайлович,26,1,1,1,0,RT @akolesnikov: Беспощадна социальная реклама в РФ) http://t.co/xPnHKqWvaR,мама узнала КАКОЙ  у меня низкий гемоглобин. Орёт на меня пздц. ВОТ ЭТО ВСЁ ПОТОМУ ЧТО МЯСО НЕ ЕШЬ. НИЧО НЕ ЕШЬ. и всё в этом роде ;(,http://t.co/Hx2OqeM3aQ мне остаётся только смотреть(,@ira__ivanova а там мокро и противно(((хочешь я к тебе приду?ахах,87643
Левин Иван Тимофеевич,49,0,0,1,0,11.12.13   Последняя красивая дата в ближайшее энное кол-во лет... ))) Люблю тебя мой дорогой и замечательный МУЖ))),@kbeakgjq да ладноты уже всё равно другим Дэном интересуешься:D,RT @_oh_hero: Наверное наше столь долгое веселье и послужило нашей усталости. Клонит в сон до сих поор :((,RT @kapinusnatalia: @TukvaSociopat @D_Babich @fshefik это не контрибуция это узбагоительное))) и угадайте что будет если вдруг узбагоите…,52708
Михайлов Виктор Фёдорович,27,0,0,1,0,Ну получил чувак #ЗолотойМячну порадуйтесь вы молчанет же нужно каждому уклумку написать об этом :-/ #МирПолонИдиотов :|,@kolohui год назад сплавил ASUS EEE PC первый который с флэшем на 2 гб за 1500),@RuslanProvod Руслан давай реванш с Бредли!!! До Маркеза доберешься тоже )),@Miuccima да это все со слов реальных людей! :) и я о том же их бы в нашу родную Сибирь!,44658
Евдокимов Семён Никитич,47,0,0,1,0,У моего кота закончились гулюшки с одноразовым питанием теперь из дома не выгонишь ))) http://t.co/1GZgkHeFSV,@DuDlik_SPB Миш привет) как и обещал - пишу. надпись о «проверке» пропала все в порядке),"RT @RSO_officially: Всероссийский студенческий педагогический отряд ""Дельфин.RU"" начинает набор лучших вожатых страны!  http://t.co/V3N0nVO…","Вышло классно  объеденила темы ""летние каникулысемьясвободное время"" вышло много )",51997
Моргунов Фёдор Богданович,32,1,1,1,1,@Kasya25 за музыкой можно и в койот съездить)) а вот атмосфера и народ...,RT @RodninaValya: @a_usic @d_mihaylova спасибо приятно),@serjcold Мне пришло уведомление что мне кто-то что-то отправил но требует чтоб я обновила программу),Просто дай мне понять что тебе это нужно. Больше мне ничего не надо. Ии ты прекрасно понимаешь о чем речь. Че как мудак то.),38939
Панина Малика Тимофеевна,20,1,0,0,1,@altantuya_t хурдан сураарай цаг нь таарвал сайхан бүжиглэх цэнгэл авчирна ;-),@ad1Dima То чувство когда @ad1Dima нежная натура)),Песня года наш любимый улыбчивый @BilanOfficial )) http://t.co/pc7TRXgi2i,Я еду я еду я еду-еду-еду))) http://t.co/gMQwZyRpPV,128251
Богданов Максим Даниилович,43,1,1,1,1,А тем временем жду Марка с игрой)) http://t.co/AS7pZ2irHk,@SpiritFC мне вот жаль не предлагают =(,Дома) последние два дня болезни проходят ахуенно а самое главное с родными моими),RT @Niki_Nikiforova: @zabotkinaaaaa выздоравливай:(. И обязательно носи теперь шапку.,30600
Спиридонов Фёдор Михайлович,44,0,0,1,0,Мы с Катюней #ихч #мителки:D http://t.co/UiVvO3denR,ок 27 марта 9mm parabellum bullet с Back Horn в Токио. но я в это время в Хирошиме. я сдаюсь:(,@http_snow_white спасибо мне приятно это слышать! :),RT @dialshep: #happyVIrthday Великая Панда всея к-попа С ДНЁМ РОЖДЕНИЯоставайся таким же очаровательным =) http://t.co/HptPpvybQh,53602
Сафонов Даниэль Андреевич,20,0,0,1,0,@Abrazumova задание у меня сегодня с роддомом № 2 работать)))Вот и повлиялонаверное)))),все таки стоматолог самый худший врач.. да еще и пахнет у него в кабинете(,RT @Directioner_ruu: @Ksenia_She не везет( а я ухожу из школы где-то часов семь вечера*(,пришла домой сейчас надо убраться кушать приготовить времени на сон нет ((,34809
Королев Артемий Миронович,46,1,1,0,0,RT @djonabab: Хороший внешний вид не гарантирует примерное поведение.. ;),Я могу пол часа разогревать себе покушать потому что включаю музыку и танцую:D,Теперь я люблю Людосане че плохого про меня не сказала только подъебала),пришел какой-то конверт от Аэрофлота. Боюсь открывать - вдруг там штрафы а систематические опоздания на рейсы? (,75881
Шаповалов Владимир Адамович,40,1,0,0,1,@wintry_cherry мм а я из мухосранска- Красноярска :),@graFFiXtation за 18 лет прожитых в Каджи-Сае ни разу не ездила на этот завод(,в перерывах между заходами людей пытаюсь успеть съесть ) http://t.co/JkvWkhg8fu,Ахха одного парня так затролил наш философчто у него случился баттхерт) Хорошочто я антитралируемый,132620
Денисова Дарья Романовна,23,1,0,0,1,Чувствую когда с Сашулей приедем в Якт будет настолько холодно что даже выйти никуда не сможем(,@tati_kot2018 дак ты еще и удалила меня вот что? Что? Тн кто тебе с душой ты к ним нет а если тебя шлют куда подальше ты бежишь за ними (,закидываю свой вконтакторостер строчками из песни Красной Шапочки:) а чоу? Делать то совсем нефиг...,RT @SAZHINWEED: #RussianTrapMafia vol.4 #ComingSoon  Возможно сегодня! Возможно вечером! =),101277
Кириллов Иван Дмитриевич,48,1,1,0,0,@ZhenyaRock судя по рейтингам более восьмерки вхождению в ТОП-250 на Кинопоиске и сборам он крут не по-детски ),@mswildfan я сейчас сижу в 2 парах носков свитер кофта тапки. точно надо ещё одеяло взять ахахахах)),RT @qsdfvb: @anny_daydream будет 11 доктором на маскарадея всё знаю. ;),Хочется чтобы ничто не могло испортить настороение ни ваше ни мое))),83275
Кузьмина Софья Данииловна,22,1,1,1,0,Блеать!!!да это не мужик!!!!это мальчик Антонлет так 9!!!!в 9 лет так храпит...:(,ахахахах янка с тобой только и делать уроки блин :D / азазазаза я думала помру от смеха :D http://t.co/G6sL0CEB63,В 20:** пришла домой и поняла что так тепло мне никогда не было))),Верните мне его ((( http://t.co/TAOEbNNLPa,93508
Маркова Дарья Кирилловна,20,0,0,1,0,можно подписать петицию чтобы новую планету назвали Галлифрей :) http://t.co/80HObu0QlP,Представляем вам подборку красивых номеров в отелях для новобрачных :) http://t.co/0ziJswhAch,RT @rostovskaya_ya: @RALEX999 лучше раньше :)) .. почти три года - это срок !!!,Мой безумный друг Константин:) / Скучаю по тебе и Насте http://t.co/mdtr5xbyq7,39611
